Product,Campaign ID,Ad Group ID,Keyword ID,Product Targeting ID,Campaign Name (Informational only),Ad Group Name (Informational only),Portfolio Name (Informational only),State,Campaign State (Informational only),Bid,Keyword Text,Match Type,Product Targeting Expression,Resolved Product Targeting Expression (Informational only),Customer Search Term,Impressions,Clicks,Click-through Rate,Spend,Sales,Orders,Units,Conversion Rate,ACOS,CPC,ROAS
Sponsored Products,555439776500548,420958211921510,135153389253656,,SP I WP I CSQGOW I KWD - WALLPAPER I T4,SP I WP I CSQGOW I KWD - WALLPAPER I T4,,enabled,enabled,1.02,ceiling panel,Broad,,,fall ceiling panel roof,1,1,100.00%,1.01,0.00,0,0,0.00%,0.00%,1.01,0.00
Sponsored Products,555439776500548,420958211921510,135153389253656,,SP I WP I CSQGOW I KWD - WALLPAPER I T4,SP I WP I CSQGOW I KWD - WALLPAPER I T4,,enabled,enabled,1.02,ceiling panel,Broad,,,roof ceiling panels,1,1,100.00%,1.02,0.00,0,0,0.00%,0.00%,1.02,0.00
Sponsored Products,555439776500548,420958211921510,49987310259174,,SP I WP I CSQGOW I KWD - WALLPAPER I T4,SP I WP I CSQGOW I KWD - WALLPAPER I T4,,enabled,enabled,1.02,ceiling wallpaper,Broad,,,ceiling roof wallpaper,7,1,14.29%,1.02,0.00,0,0,0.00%,0.00%,1.02,0.00
Sponsored Products,555439776500548,420958211921510,49987310259174,,SP I WP I CSQGOW I KWD - WALLPAPER I T4,SP I WP I CSQGOW I KWD - WALLPAPER I T4,,enabled,enabled,1.02,ceiling wallpaper,Broad,,,ceiling wallpaper for roof waterproof,2,1,50.00%,1.01,0.00,0,0,0.00%,0.00%,1.01,0.00
Sponsored Products,555439776500548,420958211921510,49987310259174,,SP I WP I CSQGOW I KWD - WALLPAPER I T4,SP I WP I CSQGOW I KWD - WALLPAPER I T4,,enabled,enabled,1.02,ceiling wallpaper,Broad,,,wallpaper ceiling bigsize10 12,1,1,100.00%,1.00,0.00,0,0,0.00%,0.00%,1.00,0.00
Sponsored Products,555439776500548,420958211921510,109587886719057,,SP I WP I CSQGOW I KWD - WALLPAPER I T4,SP I WP I CSQGOW I KWD - WALLPAPER I T4,,enabled,enabled,1.02,wallpaper,Broad,,,10/10 hd wallpaper,1,1,100.00%,1.02,0.00,0,0,0.00%,0.00%,1.02,0.00
Sponsored Products,555439776500548,420958211921510,109587886719057,,SP I WP I CSQGOW I KWD - WALLPAPER I T4,SP I WP I CSQGOW I KWD - WALLPAPER I T4,,enabled,enabled,1.02,wallpaper,Broad,,,100sq feet hd wallpapers,1,1,100.00%,1.02,0.00,0,0,0.00%,0.00%,1.02,0.00
Sponsored Products,555439776500548,420958211921510,109587886719057,,SP I WP I CSQGOW I KWD - WALLPAPER I T4,SP I WP I CSQGOW I KWD - WALLPAPER I T4,,enabled,enabled,1.02,wallpaper,Broad,,,10x6 feet wallpaper,1,1,100.00%,1.02,0.00,0,0,0.00%,0.00%,1.02,0.00
Sponsored Products,555439776500548,420958211921510,109587886719057,,SP I WP I CSQGOW I KWD - WALLPAPER I T4,SP I WP I CSQGOW I KWD - WALLPAPER I T4,,enabled,enabled,1.02,wallpaper,Broad,,,2x2 wallpaper,2,1,50.00%,1.02,0.00,0,0,0.00%,0.00%,1.02,0.00
Sponsored Products,555439776500548,420958211921510,109587886719057,,SP I WP I CSQGOW I KWD - WALLPAPER I T4,SP I WP I CSQGOW I KWD - WALLPAPER I T4,,enabled,enabled,1.02,wallpaper,Broad,,,300 square feet wallpaper,2,1,50.00%,1.02,0.00,0,0,0.00%,0.00%,1.02,0.00
